hid_pes,puid_pes,forename_pes,middlenm_pes,last_name_pes,names_pes,province_pes,district_pes,sector_pes,cellule_pes,village_pes,month_pes,year_pes,age_pes,HoH_pes,marstat_pes,marstatdesc_pes,relationship_pes,sex_pes,telephone_pes,lat_pes,long_pes,full_loc_pes,EAid_pes,DSid_pes,dob_pes
22,PES_9MN971833804,GIANNA,nan,UWASE,GIANNA  UWASE,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,nan,1973.0,49.0,AKIMA KAYITESI,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,5.0,F,1781879139.0,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA,nan/1973.0
22,PES_9RN477700217,BENITHA,nan,DUSABE,BENITHA  DUSABE,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,11.0,nan,21.0,AKIMA KAYITESI,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,11.0,F,1781879139.0,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA,11.0/nan
22,PES_9TW900288132,KALISA,nan,HATEGEKIMANA,KALISA  HATEGEKIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,2.0,2019.0,3.0,AKIMA KAYITESI,6.0,NEVER MARRIED,nan,F,1781879139.0,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA,2.0/2019.0
22,PES_9UM519028608,AKIMA,nan,KAYITESI,AKIMA  KAYITESI,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,7.0,1925.0,97.0,AKIMA KAYITESI,7.0,WIDOWED,8.0,M,1781879139.0,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA,7.0/1925.0
23,PES_9WJ374083701,ELVIN,nan,UWINEZA,ELVIN  UWINEZA,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,7.0,nan,44.0,HUNGURIMANA MAURICE,6.0,NEVER MARRIED,8.0,F,8502045069.0,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA,7.0/nan
23,PES_A0F522970138,DOGRATIAS,VINCENT,MICHEL,DOGRATIAS VINCENT MICHEL,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,9.0,2002.0,21.0,HUNGURIMANA MAURICE,5.0,SEPARATED,5.0,M,8502045069.0,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA,9.0/2002.0
23,PES_A28701491679,HUNGURIMANA,nan,MAURICE,HUNGURIMANA  MAURICE,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,nan,1974.0,76.0,HUNGURIMANA MAURICE,5.0,SEPARATED,11.0,M,8502045069.0,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA,nan/1974.0
24,PES_A44383367871,RITA,nan,TWAGIRAYEZU,RITA  TWAGIRAYEZU,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,4.0,1956.0,66.0,SAMANTHA MAHORO,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,7.0,F,5982579619.0,-2.7037783639999997,29.00802601,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,4.0/1956.0
24,PES_A4D035953573,QUDDUS,nan,CLAUDINE,QUDDUS  CLAUDINE,SOUTH,HUYE,NGOMA,BUTARE,BUKINANYANA,6.0,1947.0,75.0,SAMANTHA MAHORO,3.0,LIVE IN A POLYGAMOUS UNION,nan,M,5982579619.0,-2.7048929210000003,29.02596462,RWANDA HUYE NGOMA BUTARE BUKINANYANA,BUTAREBUKINANYANA,HUYENGOMA,6.0/1947.0
24,PES_AAC417926465,SAMANTHA,nan,MAHORO,SAMANTHA  MAHORO,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,nan,1945.0,77.0,SAMANTHA MAHORO,6.0,NEVER MARRIED,8.0,F,5982579619.0,-2.7037783639999997,29.00802601,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,nan/1945.0
24,PES_AAV554715583,JOSH,nan,MUGARURA,JOSH  MUGARURA,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,10.0,1979.0,43.0,SAMANTHA MAHORO,6.0,NEVER MARRIED,7.0,M,5982579619.0,-2.7037783639999997,29.00802601,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,10.0/1979.0
26,PES_AJ5218293911,GAKURU,nan,GATO,GAKURU  GATO,NORTH,BURERA,RWERERE,RUGARI,MUSHUBI,3.0,1922.0,100.0,GAKURU GATO,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,7.0,M,2199052804.0,-1.380623422,29.71324928,RWANDA BURERA RWERERE RUGARI MUSHUBI,RUGARIMUSHUBI,BURERARWERERE,3.0/1922.0
26,PES_ANH017192163,AKALIZA,nan,JOEL,AKALIZA  JOEL,NORTH,BURERA,RWERERE,RUGARI,MUSHUBI,11.0,1962.0,60.0,GAKURU GATO,4.0,DIVORCED,8.0,F,2199052704.0,-1.380623422,29.71324928,RWANDA BURERA RWERERE RUGARI MUSHUBI,RUGARIMUSHUBI,BURERARWERERE,11.0/1962.0
26,PES_AP4804589614,ANGELOTI,nan,NIYIGENA,ANGELOTI  NIYIGENA,NORTH,BURERA,RWERERE,RUGARI,MUSHUBI,10.0,2003.0,19.0,GAKURU GATO,3.0,LIVE IN A POLYGAMOUS UNION,4.0,M,2199052704.0,-1.380623422,29.71324928,RWANDA BURERA RWERERE RUGARI MUSHUBI,RUGARIMUSHUBI,BURERARWERERE,10.0/2003.0
26,PES_APG410329624,SRAPHIN,nan,NSABIMANA,SRAPHIN  NSABIMANA,NORTH,BURERA,RWERERE,RUGARI,MUSHUBI,nan,nan,95.0,GAKURU GATO,6.0,NEVER MARRIED,13.0,M,2199052704.0,-1.380623422,29.71324928,RWANDA BURERA RWERERE RUGARI MUSHUBI,RUGARIMUSHUBI,BURERARWERERE,nan/nan
27,PES_ARD335684227,SHEMASA,nan,NGARAMBE,SHEMASA  NGARAMBE,EAST,RWAMAGANA,GAHENGERI,KAGEZI,SAMATARE,2.0,2009.0,14.0,ISARO SOLANGE,6.0,NEVER MARRIED,7.0,F,nan,-1.966234689,30.32042841,RWANDA RWAMAGANA GAHENGERI KAGEZI SAMATARE,KAGEZISAMATARE,RWAMAGANAGAHENGERI,2.0/2009.0
27,PES_AT9405362812,BOLIVE,nan,UWINEZA,BOLIVE  UWINEZA,EAST,RWAMAGANA,GAHENGERI,KAGEZI,SAMATARE,10.0,nan,nan,ISARO SOLANGE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,6.0,F,nan,-1.966234689,30.32042841,RWANDA RWAMAGANA GAHENGERI KAGEZI SAMATARE,KAGEZISAMATARE,RWAMAGANAGAHENGERI,10.0/nan
27,PES_AU4018047004,nan,nan,SOLANGE,  SOLANGE,EAST,RWAMAGANA,GAHENGERI,KAGEZI,SAMATARE,11.0,nan,80.0,ISARO SOLANGE,nan,nan,13.0,F,nan,-1.966234689,30.32042841,RWANDA RWAMAGANA GAHENGERI KAGEZI SAMATARE,KAGEZISAMATARE,RWAMAGANAGAHENGERI,11.0/nan
29,PES_AZC929139495,CHANISE,nan,JANVIER,CHANISE  JANVIER,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,nan,1967.0,55.0,CHANISE JANVIER,4.0,DIVORCED,9.0,F,8535658894.0,-2.468483941,29.58418052,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,nan/1967.0
29,PES_B3X292907229,JEAN,nan,UWIMANA,JEAN  UWIMANA,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,nan,1975.0,47.0,CHANISE JANVIER,4.0,DIVORCED,9.0,M,8535658894.0,-2.468483941,29.58418052,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,nan/1975.0
29,PES_BA2464827205,KARENZI,nan,BEATRICE,KARENZI  BEATRICE,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,nan,1989.0,33.0,CHANISE JANVIER,7.0,WIDOWED,13.0,M,8535658894.0,-2.468483941,29.58418052,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,nan/1989.0
29,PES_BAN842034408,DAVY,nan,MWESIGYE,DAVY  MWESIGYE,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,1.0,nan,25.0,CHANISE JANVIER,7.0,WIDOWED,5.0,M,8535658894.0,-2.468483941,29.58418052,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,1.0/nan
30,PES_BAY097123961,INNOCENT,nan,UMURERWA,INNOCENT  UMURERWA,KIGALI,KICUKIRO,GATENGA,KARAMBO,KAMABUYE,8.0,1999.0,23.0,HAPPY KABERA,6.0,NEVER MARRIED,7.0,M,7244018688.0,-1.985459631,30.05718929,RWANDA KICUKIRO GATENGA KARAMBO KAMABUYE,KARAMBOKAMABUYE,KICUKIROGATENGA,8.0/1999.0
30,PES_BBL713505981,HAPPY,nan,KABERA,HAPPY  KABERA,KIGALI,KICUKIRO,GATENGA,KARAMBO,KAMABUYE,nan,1938.0,77.0,HAPPY KABERA,4.0,DIVORCED,3.0,M,7244018688.0,-1.985459631,30.05718929,RWANDA KICUKIRO GATENGA KARAMBO KAMABUYE,KARAMBOKAMABUYE,KICUKIROGATENGA,nan/1938.0
30,PES_BHQ493972194,MWENEDATA,nan,ALINE,MWENEDATA  ALINE,KIGALI,KICUKIRO,GATENGA,KARAMBO,KAMABUYE,2.0,2021.0,1.0,HAPPY KABERA,6.0,NEVER MARRIED,7.0,M,7244018688.0,-1.985459631,30.05718929,RWANDA KICUKIRO GATENGA KARAMBO KAMABUYE,KARAMBOKAMABUYE,KICUKIROGATENGA,2.0/2021.0
31,PES_BIB950269981,MUTONI,nan,DIANE,MUTONI  DIANE,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,3.0,nan,85.0,MUTONI DIANE,7.0,WIDOWED,11.0,F,nan,-2.694218859,29.01476371,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,3.0/nan
31,PES_BIX395404283,ROYAL,nan,UWAMARIYA,ROYAL  UWAMARIYA,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,2.0,nan,40.0,MUTONI DIANE,5.0,SEPARATED,8.0,nan,nan,-2.694218859,29.01476371,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,2.0/nan
31,PES_BKA144081998,ADOLPHE,nan,AUGUSTI,ADOLPHE  AUGUSTI,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,nan,2005.0,17.0,MUTONI DIANE,6.0,NEVER MARRIED,13.0,M,nan,-2.694218859,29.01476371,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,nan/2005.0
31,PES_BKO108806645,MARIE,LOUISE,nan,MARIE LOUISE ,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,1.0,1972.0,50.0,MUTONI DIANE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,nan,F,nan,-2.694218859,29.01476371,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,1.0/1972.0
33,PES_BPS437509241,JOHN,MARRY,VITAL,JOHN MARRY VITAL,KIGALI,KICUKIRO,GATENGA,NYANZA,TABA,6.0,1952.0,70.0,JOHN MARRY VITAL,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,5.0,M,9215743537.0,-1.989072994,30.08978298,RWANDA KICUKIRO GATENGA NYANZA TABA,NYANZATABA,KICUKIROGATENGA,6.0/1952.0
33,PES_BPW898270968,nan,nan,MBARUSHIMANA,  MBARUSHIMANA,KIGALI,KICUKIRO,GATENGA,NYANZA,TABA,8.0,1986.0,67.0,JOHN MARRY VITAL,3.0,LIVE IN A POLYGAMOUS UNION,5.0,F,9215743537.0,-1.989072994,30.08978298,RWANDA KICUKIRO GATENGA NYANZA TABA,NYANZATABA,KICUKIROGATENGA,8.0/1986.0
34,PES_BSX819088908,PAT,nan,KAMANZI,PAT  KAMANZI,KIGALI,NYARUGENGE,GITEGA,KIGARAMA,INGENZI,8.0,2021.0,4.0,SEDHAR KUBWIMANA,6.0,NEVER MARRIED,3.0,F,1004279617.0,-1.956537934,30.055013,RWANDA NYARUGENGE GITEGA KIGARAMA INGENZI,KIGARAMAINGENZI,NYARUGENGEGITEGA,8.0/2021.0
34,PES_BUS362554019,SEDHAR,nan,KUBMANA,SEDHAR  KUBMANA,KIGALI,NYARUGENGE,GITEGA,KIGARAMA,INGENZI,7.0,nan,47.0,SEDHAR KUBWIMANA,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,10.0,M,1004279617.0,-1.956537934,30.055013,RWANDA NYARUGENGE GITEGA KIGARAMA INGENZI,KIGARAMAINGENZI,NYARUGENGEGITEGA,7.0/nan
34,PES_C2B368543840,ISMAEL,nan,STRATON,ISMAEL  STRATON,KIGALI,NYARUGENGE,GITEGA,KIGARAMA,INGENZI,nan,1984.0,9.0,SEDHAR KUBWIMANA,6.0,NEVER MARRIED,12.0,M,1004279617.0,-1.956537934,30.055013,RWANDA NYARUGENGE GITEGA KIGARAMA INGENZI,KIGARAMAINGENZI,NYARUGENGEGITEGA,nan/1984.0
35,PES_C3Z489676537,UWAMAHORO,nan,DAMAS,UWAMAHORO  DAMAS,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,5.0,nan,61.0,UWAMAHORO DAMAS,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,5.0,F,4246322811.0,-2.256837038,30.65054584,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,5.0/nan
35,PES_C47524321394,AMANDA,nan,KAYITESI,AMANDA  KAYITESI,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,11.0,1974.0,48.0,UWAMAHORO DAMAS,4.0,DIVORCED,8.0,F,4246322811.0,-2.256837038,30.65054584,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,11.0/1974.0
36,PES_C4O068308716,BERTRAND,nan,GATETE,BERTRAND  GATETE,SOUTH,RUHANGO,KINAZI,BURIMA,MIRAMBI,2.0,1924.0,98.0,BERTRAND GATETE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,13.0,M,9721083915.0,-2.189825616,29.90098984,RWANDA RUHANGO KINAZI BURIMA MIRAMBI,BURIMAMIRAMBI,RUHANGOKINAZI,2.0/1924.0
36,PES_CDD419821306,IRAKOZE,nan,BUTERA,IRAKOZE  BUTERA,SOUTH,RUHANGO,KINAZI,BURIMA,MIRAMBI,5.0,1966.0,56.0,BERTRAND GATETE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,nan,M,9721083915.0,-2.189825616,29.90098984,RWANDA RUHANGO KINAZI BURIMA MIRAMBI,BURIMAMIRAMBI,RUHANGOKINAZI,5.0/1966.0
36,PES_CGG844439876,BRUNO,nan,BOSCO,BRUNO  BOSCO,SOUTH,RUHANGO,KINAZI,BURIMA,MIRAMBI,9.0,1943.0,5.0,BERTRAND GATETE,6.0,NEVER MARRIED,8.0,M,9721083915.0,-2.189825616,29.90098984,RWANDA RUHANGO KINAZI BURIMA MIRAMBI,BURIMAMIRAMBI,RUHANGOKINAZI,9.0/1943.0
37,PES_CGH069944424,nan,nan,BEATRICE,  BEATRICE,EAST,KAYONZA,GAHINI,JURU,MIKINGA,11.0,2014.0,8.0,YANNICK NIYO,nan,nan,6.0,M,9898482048.0,-1.8471235330000002,30.5053539,RWANDA KAYONZA GAHINI JURU MIKINGA,JURUMIKINGA,KAYONZAGAHINI,11.0/2014.0
37,PES_CI5143190272,MARIE,CHANTAL,MUTABAZI,MARIE CHANTAL MUTABAZI,EAST,KAYONZA,GAHINI,JURU,MIKINGA,nan,1980.0,42.0,YANNICK NIYO,5.0,SEPARATED,3.0,F,9898482048.0,-1.8471235330000002,30.5053539,RWANDA KAYONZA GAHINI JURU MIKINGA,JURUMIKINGA,KAYONZAGAHINI,nan/1980.0
37,PES_CIF019441339,YANNICK,nan,NIYO,YANNICK  NIYO,EAST,KAYONZA,GAHINI,JURU,MIKINGA,10.0,nan,60.0,YANNICK NIYO,7.0,WIDOWED,7.0,M,9898482048.0,-1.8471235330000002,30.5053539,RWANDA KAYONZA GAHINI JURU MIKINGA,JURUMIKINGA,KAYONZAGAHINI,10.0/nan
38,PES_CIG589022929,DIVINE,MIMY,GASANA,DIVINE MIMY GASANA,EAST,KAYONZA,GAHINI,JURU,NYABUGOGO,5.0,nan,61.0,CHRIS KABAGAMBE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,nan,F,1038636624.0,-1.8471235330000002,30.5053539,RWANDA KAYONZA GAHINI JURU NYABUGOGO,JURUNYABUGOGO,KAYONZAGAHINI,5.0/nan
38,PES_CKH811067880,CHRIS,nan,KABAGAMBE,CHRIS  KABAGAMBE,EAST,KAYONZA,GAHINI,JURU,NYABUGOGO,2.0,1929.0,93.0,CHRIS KABAGAMBE,4.0,DIVORCED,7.0,M,1038636624.0,-1.8471235330000002,30.5053539,RWANDA KAYONZA GAHINI JURU NYABUGOGO,JURUNYABUGOGO,KAYONZAGAHINI,2.0/1929.0
38,PES_CKI249688560,KASSIM,nan,NDAYISHIMIYE,KASSIM  NDAYISHIMIYE,EAST,KAYONZA,GAHINI,JURU,NYABUGOGO,nan,1949.0,74.0,CHRIS KABAGAMBE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,11.0,M,1038636624.0,-1.8471235330000002,30.5053539,RWANDA KAYONZA GAHINI JURU NYABUGOGO,JURUNYABUGOGO,KAYONZAGAHINI,nan/1949.0
39,PES_CME291687952,JAPHET,nan,ALAIN,JAPHET  ALAIN,SOUTH,NYANZA,BUSORO,GITOVU,GITEGA,8.0,2019.0,3.0,NIYIBIZI JEAN KAYIRANGA,6.0,NEVER MARRIED,9.0,M,3181567578.0,-2.283028372,29.95329407,RWANDA NYANZA BUSORO GITOVU GITEGA,GITOVUGITEGA,NYANZABUSORO,8.0/2019.0
39,PES_CT3448003390,JEAN,FELIX,HOPE,JEAN FELIX HOPE,SOUTH,NYANZA,BUSORO,GITOVU,GITEGA,5.0,1982.0,40.0,NIYIBIZI JEAN KAYIRANGA,3.0,LIVE IN A POLYGAMOUS UNION,6.0,M,3181567578.0,-2.283028372,29.95329407,RWANDA NYANZA BUSORO GITOVU GITEGA,GITOVUGITEGA,NYANZABUSORO,5.0/1982.0
39,PES_CTH858963568,NIYIBIZI,JEAN,KAYIRANGA,NIYIBIZI JEAN KAYIRANGA,SOUTH,NYANZA,BUSORO,GITOVU,GITEGA,12.0,1948.0,74.0,NIYIBIZI JEAN KAYIRANGA,6.0,NEVER MARRIED,6.0,M,3181567578.0,-2.283028372,29.95329407,RWANDA NYANZA BUSORO GITOVU GITEGA,GITOVUGITEGA,NYANZABUSORO,12.0/1948.0
39,PES_CYD715478912,VIEUR,nan,nan,VIEUR  ,SOUTH,NYANZA,BUSORO,GITOVU,GITEGA,nan,1961.0,61.0,NIYIBIZI JEAN KAYIRANGA,7.0,WIDOWED,5.0,M,3181567578.0,-2.283028372,29.95329407,RWANDA NYANZA BUSORO GITOVU GITEGA,GITOVUGITEGA,NYANZABUSORO,nan/1961.0
40,PES_D4X255970026,PIERRE,CLAVER,AGABA,PIERRE CLAVER AGABA,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,nan,nan,85.0,BENISON MUHINDO,3.0,LIVE IN A POLYGAMOUS UNION,5.0,M,7432145448.0,-2.4699095509999998,29.58338658,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,nan/nan
40,PES_D7T717099086,MUSSA,nan,KARARA,MUSSA  KARARA,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,11.0,nan,63.0,BENISON MUHINDO,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,nan,M,7432145448.0,-2.4699095509999998,29.58338658,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,11.0/nan
40,PES_DB1768778667,BENISON,nan,MUHINDO,BENISON  MUHINDO,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,8.0,1932.0,91.0,BENISON MUHINDO,5.0,SEPARATED,9.0,M,7432145448.0,-2.4699095509999998,29.58338658,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,8.0/1932.0
40,PES_DC3840523317,GATORANO,nan,JUNIOR,GATORANO  JUNIOR,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,3.0,1991.0,15.0,BENISON MUHINDO,6.0,NEVER MARRIED,10.0,M,7432145448.0,-2.4699095509999998,29.58338658,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,3.0/1991.0
41,PES_DEN384517647,VALENTINE,nan,NIZEYIMANA,VALENTINE  NIZEYIMANA,WEST,NGORORERO,NYANGE,GASEKE,DUTWE,10.0,1947.0,75.0,MARIE ANGE NDAYISHIMIYE,5.0,SEPARATED,2.0,F,5144563102.0,-2.0534522319999997,29.59865096,RWANDA NGORORERO NYANGE GASEKE DUTWE,GASEKEDUTWE,NGORORERONYANGE,10.0/1947.0
41,PES_DIM752506180,MUTESI,nan,ANDR,MUTESI  ANDR,WEST,NGORORERO,NYANGE,GASEKE,DUTWE,nan,2010.0,12.0,MARIE ANGE NDAYISHIMIYE,6.0,NEVER MARRIED,12.0,F,5144563102.0,-2.0534522319999997,29.59865096,RWANDA NGORORERO NYANGE GASEKE DUTWE,GASEKEDUTWE,NGORORERONYANGE,nan/2010.0
41,PES_DMM807697672,MARIE,ANGE,NDAYISHIMIYE,MARIE ANGE NDAYISHIMIYE,WEST,NGORORERO,NYANGE,GASEKE,DUTWE,7.0,nan,89.0,MARIE ANGE NDAYISHIMIYE,4.0,DIVORCED,3.0,F,5144563102.0,-2.0534522319999997,29.59865096,RWANDA NGORORERO NYANGE GASEKE DUTWE,GASEKEDUTWE,NGORORERONYANGE,7.0/nan
41,PES_DNU829902998,BAHIZI,GASPARD,INNOCENT,BAHIZI GASPARD INNOCENT,WEST,NGORORERO,NYANGE,GASEKE,DUTWE,10.0,nan,11.0,MARIE ANGE NDAYISHIMIYE,6.0,NEVER MARRIED,3.0,M,5144563102.0,-2.0534522319999997,29.59865096,RWANDA NGORORERO NYANGE GASEKE DUTWE,GASEKEDUTWE,NGORORERONYANGE,10.0/nan
42,PES_DQT925842518,NEZA,nan,RAMAZANI,NEZA  RAMAZANI,NORTH,GICUMBI,RWAMIKO,NYAGAHINGA,KIGAGA,12.0,1992.0,30.0,ELICAN VALENTINE,5.0,SEPARATED,3.0,F,nan,-1.568457038,30.11008389,RWANDA GICUMBI RWAMIKO NYAGAHINGA KIGAGA,NYAGAHINGAKIGAGA,GICUMBIRWAMIKO,12.0/1992.0
42,PES_DSX631009271,ELICAN,nan,VALENTINE,ELICAN  VALENTINE,NORTH,GICUMBI,RWAMIKO,NYAGAHINGA,KIGAGA,nan,nan,99.0,ELICAN VALENTINE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,8.0,M,nan,-1.568457038,30.11008389,RWANDA GICUMBI RWAMIKO NYAGAHINGA KIGAGA,NYAGAHINGAKIGAGA,GICUMBIRWAMIKO,nan/nan
42,PES_DUH459763632,EMMY,PRINCE,UWAMARIYA,EMMY PRINCE UWAMARIYA,NORTH,GICUMBI,RWAMIKO,NYAGAHINGA,KIGAGA,9.0,1963.0,52.0,ELICAN VALENTINE,nan,nan,nan,M,nan,-1.568457038,30.11008389,RWANDA GICUMBI RWAMIKO NYAGAHINGA KIGAGA,NYAGAHINGAKIGAGA,GICUMBIRWAMIKO,9.0/1963.0
43,PES_DXX145159030,nan,nan,HABIMANA,  HABIMANA,WEST,NGORORERO,BWIRA,KABARONDO,NYAKARAMBI,12.0,nan,32.0,LAMBERT KABERA,nan,nan,6.0,M,7621647104.0,-1.861389001,29.62415236,RWANDA NGORORERO BWIRA KABARONDO NYAKARAMBI,KABARONDONYAKARAMBI,NGOROREROBWIRA,12.0/nan
43,PES_DYY234436095,NDAGIJIMANA,nan,NIZEYIMANA,NDAGIJIMANA  NIZEYIMANA,WEST,NGORORERO,BWIRA,KABARONDO,NYAKARAMBI,6.0,2002.0,22.0,LAMBERT KABERA,6.0,NEVER MARRIED,7.0,M,7621647104.0,-1.861389001,29.62415236,RWANDA NGORORERO BWIRA KABARONDO NYAKARAMBI,KABARONDONYAKARAMBI,NGOROREROBWIRA,6.0/2002.0
43,PES_DZJ434751496,AUDACE,nan,TWAHIRWA,AUDACE  TWAHIRWA,WEST,NGORORERO,BWIRA,KABARONDO,NYAKARAMBI,10.0,1973.0,49.0,LAMBERT KABERA,7.0,WIDOWED,10.0,M,7621647104.0,-1.861389001,29.62415236,RWANDA NGORORERO BWIRA KABARONDO NYAKARAMBI,KABARONDONYAKARAMBI,NGOROREROBWIRA,10.0/1973.0
43,PES_E23596225011,LAMBERT,nan,KABERA,LAMBERT  KABERA,KIGALI,GASABO,GATSATA,KARURUMA,BUSASAMANA,6.0,1932.0,90.0,LAMBERT KABERA,6.0,NEVER MARRIED,1.0,M,7621647104.0,-1.9101128330000001,30.04665016,RWANDA GASABO GATSATA KARURUMA BUSASAMANA,KARURUMABUSASAMANA,GASABOGATSATA,6.0/1932.0
45,PES_EJE566185827,WILLY,nan,GATARI,WILLY  GATARI,WEST,NYABIHU,JENDA,KAREBA,RUBARE,6.0,1971.0,21.0,EMMY FRANCOIS,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,8.0,M,6099637466.0,-1.58152337,29.47568591,RWANDA NYABIHU JENDA KAREBA RUBARE,KAREBARUBARE,NYABIHUJENDA,6.0/1971.0
45,PES_EL7917901931,JUSTIN,nan,UMUTONI,JUSTIN  UMUTONI,WEST,NYABIHU,JENDA,KAREBA,RUBARE,8.0,nan,85.0,EMMY FRANCOIS,3.0,LIVE IN A POLYGAMOUS UNION,5.0,M,6099637466.0,-1.58152337,29.47568591,RWANDA NYABIHU JENDA KAREBA RUBARE,KAREBARUBARE,NYABIHUJENDA,8.0/nan
