hid_cen,puid_cen,forename_cen,middlenm_cen,last_name_cen,names_cen,province_cen,district_cen,sector_cen,cellule_cen,village_cen,month_cen,year_cen,age_cen,HoH_cen,marstat_cen,marstatdesc_cen,relationship_cen,sex_cen,telephone_cen,lat_cen,long_cen,full_loc_cen,EAid_cen,DSid_cen,dob_cen
20,CEN_8YN352907501,VINCENTO,nan,UWIZEYIMANA,VINCENTO  UWIZEYIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,12.0,nan,25,GLADYS RUKUNDO,7.0,WIDOWED,6.0,M,nan,-2.029213262,30.1055562,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA,12.0/nan
22,CEN_9MN971833804,GIANNA,nan,UWASE,GIANNA  UWASE,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,10.0,nan,50,AKIMA KAYITESI,nan,nan,nan,F,nan,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA,10.0/nan
22,CEN_9RN477700217,MARY,nan,DUSABE,MARY  DUSABE,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,9.0,2001.0,21,AKIMA KAYITESI,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,11.0,F,nan,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA,9.0/2001.0
22,CEN_9TW900288132,KALISA,nan,HATEGE KIMANA,KALISA  HATEGE KIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,2.0,2019.0,6,AKIMA KAYITESI,6.0,NEVER MARRIED,1.0,M,nan,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA,2.0/2019.0
22,CEN_9UM519028608,AKIMA,nan,KAYITESI,AKIMA  KAYITESI,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,7.0,1925.0,97,AKIMA KAYITESI,nan,nan,8.0,M,nan,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA,7.0/1925.0
23,CEN_9WJ374083701,ELVIN,nan,UWINEZA,ELVIN  UWINEZA,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,7.0,1978.0,44,HUNGURIMANA MAURICE,6.0,NEVER MARRIED,8.0,M,8502045069.0,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA,7.0/1978.0
23,CEN_A0F522970138,DOGRATIAS,VINCENT,MICHEL,DOGRATIAS VINCENT MICHEL,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,9.0,2002.0,22,HUNGURIMANA MAURICE,5.0,SEPARATED,5.0,M,8502045069.0,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA,9.0/2002.0
23,CEN_A28701491679,HUNGURIMANA,nan,MAURICE,HUNGURIMANA  MAURICE,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,3.0,nan,76,HUNGURIMANA MAURICE,5.0,SEPARATED,11.0,M,8502045069.0,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA,3.0/nan
24,CEN_A44383367871,RITA,nan,TWAGIRAYEZU,RITA  TWAGIRAYEZU,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,1.0,1950.0,66,SAMANTHA MAHORO,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,7.0,M,5982579619.0,-2.698248435,29.0211581,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,1.0/1950.0
24,CEN_A4D035953573,QUDDUS,nan,CLAUDINE,QUDDUS  CLAUDINE,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,6.0,1947.0,75,SAMANTHA MAHORO,3.0,LIVE IN A POLYGAMOUS UNION,1.0,M,5982579619.0,-2.698248435,29.0211581,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,6.0/1947.0
24,CEN_AAC417926465,SAMANTHA,nan,MAHORO,SAMANTHA  MAHORO,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,10.0,1945.0,77,SAMANTHA MAHORO,6.0,NEVER MARRIED,8.0,F,5982579619.0,-2.698248435,29.0211581,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,10.0/1945.0
24,CEN_AAV554715583,JOSH,nan,MUGARURA,JOSH  MUGARURA,WEST,RUSIZI,BUGARAMA,PERA,KABUSUNZU,11.0,nan,43,SAMANTHA MAHORO,6.0,NEVER MARRIED,7.0,M,5982579619.0,-2.698248435,29.0211581,RWANDA RUSIZI BUGARAMA PERA KABUSUNZU,PERAKABUSUNZU,RUSIZIBUGARAMA,11.0/nan
25,CEN_AEY768597641,ATFA,DIDINE,NKUSI,ATFA DIDINE NKUSI,EAST,NYAGATARE,GATUNDA,CYAGAJU,ISANGANO,10.0,1960.0,62,CLOVIS MUSABYIMANA,nan,nan,6.0,F,nan,-1.385708687,30.23394584,RWANDA NYAGATARE GATUNDA CYAGAJU ISANGANO,CYAGAJUISANGANO,NYAGATAREGATUNDA,10.0/1960.0
25,CEN_AHY228551326,CLOVIS,nan,MUSABYIMANA,CLOVIS  MUSABYIMANA,EAST,NYAGATARE,GATUNDA,CYAGAJU,ISANGANO,nan,1941.0,81,CLOVIS MUSABYIMANA,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,4.0,M,nan,-1.385708687,30.23394584,RWANDA NYAGATARE GATUNDA CYAGAJU ISANGANO,CYAGAJUISANGANO,NYAGATAREGATUNDA,nan/1941.0
25,CEN_AHY350687413,JAY,PI,HAVUGIMANA,JAY PI HAVUGIMANA,EAST,NYAGATARE,GATUNDA,CYAGAJU,ISANGANO,6.0,1965.0,55,CLOVIS MUSABYIMANA,5.0,SEPARATED,3.0,M,nan,-1.385708687,30.23394584,RWANDA NYAGATARE GATUNDA CYAGAJU ISANGANO,CYAGAJUISANGANO,NYAGATAREGATUNDA,6.0/1965.0
25,CEN_AIG912423936,IRADUKUNDA,nan,HAVUGIMANA,IRADUKUNDA  HAVUGIMANA,EAST,NYAGATARE,GATUNDA,CYAGAJU,ISANGANO,nan,1995.0,27,CLOVIS MUSABYIMANA,7.0,WIDOWED,4.0,F,nan,-1.385708687,30.23394584,RWANDA NYAGATARE GATUNDA CYAGAJU ISANGANO,CYAGAJUISANGANO,NYAGATAREGATUNDA,nan/1995.0
28,CEN_AUZ049307175,SHEMA,nan,KAYITESI,SHEMA  KAYITESI,NORTH,MUSANZE,BUSOGO,SAHARA,NYIRAGAJU,2.0,1947.0,76,NAGZ NZEYIMANA,6.0,NEVER MARRIED,9.0,M,2101572694.0,-1.549843319,29.53567548,RWANDA MUSANZE BUSOGO SAHARA NYIRAGAJU,SAHARANYIRAGAJU,MUSANZEBUSOGO,2.0/1947.0
28,CEN_AVL248796217,TUYISHIMIRE,nan,BAHATI,TUYISHIMIRE  BAHATI,NORTH,MUSANZE,BUSOGO,SAHARA,NYIRAGAJU,6.0,1925.0,67,NAGZ NZEYIMANA,nan,nan,nan,M,2101572694.0,-1.549843319,29.53567548,RWANDA MUSANZE BUSOGO SAHARA NYIRAGAJU,SAHARANYIRAGAJU,MUSANZEBUSOGO,6.0/1925.0
28,CEN_AWZ655332756,NAGZ,nan,NZEYIMANA,NAGZ  NZEYIMANA,NORTH,MUSANZE,BUSOGO,SAHARA,NYIRAGAJU,5.0,nan,87,NAGZ NZEYIMANA,6.0,NEVER MARRIED,7.0,F,2101572694.0,-1.549843319,29.53567548,RWANDA MUSANZE BUSOGO SAHARA NYIRAGAJU,SAHARANYIRAGAJU,MUSANZEBUSOGO,5.0/nan
29,CEN_AZC929139495,CHANISE,nan,JANVR,CHANISE  JANVR,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,nan,1964.0,58,CHANISE JANVIER,4.0,DIVORCED,9.0,M,7084333332.0,-2.46859113,29.58465258,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,nan/1964.0
29,CEN_B3X292907229,JEAN,nan,UWIMANA,JEAN  UWIMANA,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,11.0,1975.0,49,CHANISE JANVIER,4.0,DIVORCED,nan,M,7084333332.0,-2.46859113,29.58465258,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,11.0/1975.0
29,CEN_BA2464827205,KARENZI,nan,BEATRICE,KARENZI  BEATRICE,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,nan,1989.0,33,CHANISE JANVIER,7.0,WIDOWED,13.0,F,7084333332.0,-2.46859113,29.58465258,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,nan/1989.0
29,CEN_BAN842034408,DAVY,nan,MWESIGYE,DAVY  MWESIGYE,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,7.0,1997.0,25,CHANISE JANVIER,7.0,WIDOWED,5.0,M,7084333332.0,-2.46859113,29.58465258,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,7.0/1997.0
30,CEN_BAY097123961,nan,nan,UMURERWA,  UMURERWA,KIGALI,KICUKIRO,GATENGA,KARAMBO,KAMABUYE,8.0,1999.0,23,HAPPY KABERA,6.0,NEVER MARRIED,7.0,M,nan,-1.985459631,30.05718929,RWANDA KICUKIRO GATENGA KARAMBO KAMABUYE,KARAMBOKAMABUYE,KICUKIROGATENGA,8.0/1999.0
30,CEN_BBL713505981,HAPPY,nan,KABERA,HAPPY  KABERA,KIGALI,KICUKIRO,GATENGA,KARAMBO,KAMABUYE,nan,1945.0,78,HAPPY KABERA,4.0,DIVORCED,3.0,F,nan,-1.985459631,30.05718929,RWANDA KICUKIRO GATENGA KARAMBO KAMABUYE,KARAMBOKAMABUYE,KICUKIROGATENGA,nan/1945.0
30,CEN_BHQ493972194,MWENEDATA,nan,nan,MWENEDATA  ,KIGALI,KICUKIRO,GATENGA,KARAMBO,KAMABUYE,2.0,2021.0,1,HAPPY KABERA,6.0,NEVER MARRIED,7.0,M,nan,-1.985459631,30.05718929,RWANDA KICUKIRO GATENGA KARAMBO KAMABUYE,KARAMBOKAMABUYE,KICUKIROGATENGA,2.0/2021.0
31,CEN_BIB950269981,nan,nan,DIANE,  DIANE,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,6.0,1973.0,84,MUTONI DIANE,7.0,WIDOWED,11.0,F,nan,-2.694218859,29.01476371,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,6.0/1973.0
31,CEN_BIX395404283,ROYAL,nan,UWIZEYE,ROYAL  UWIZEYE,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,4.0,1982.0,40,MUTONI DIANE,5.0,SEPARATED,8.0,F,nan,-2.694218859,29.01476371,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,4.0/1982.0
31,CEN_BKA144081998,ADOLPHE,nan,AUGUSTINE,ADOLPHE  AUGUSTINE,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,nan,nan,18,MUTONI DIANE,6.0,NEVER MARRIED,13.0,F,nan,-2.694218859,29.01476371,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,nan/nan
31,CEN_BKO108806645,MARIE,LOUISE,NIYITEGEKA,MARIE LOUISE NIYITEGEKA,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,nan,1972.0,51,MUTONI DIANE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,4.0,F,nan,-2.694218859,29.01476371,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA,nan/1972.0
32,CEN_BLG026188369,PIERRE,CLESTIN,TUYIZERE,PIERRE CLESTIN TUYIZERE,WEST,KARONGI,BWISHYURA,BURUNGA,MATYAZO,4.0,1968.0,54,TRESOR DUSABE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,5.0,M,5352649417.0,-2.085338255,29.35604606,RWANDA KARONGI BWISHYURA BURUNGA MATYAZO,BURUNGAMATYAZO,KARONGIBWISHYURA,4.0/1968.0
32,CEN_BPJ850292369,TRESOR,nan,DUSABE,TRESOR  DUSABE,WEST,KARONGI,BWISHYURA,BURUNGA,MATYAZO,6.0,2006.0,69,TRESOR DUSABE,nan,nan,10.0,F,5352649417.0,-2.085338255,29.35604606,RWANDA KARONGI BWISHYURA BURUNGA MATYAZO,BURUNGAMATYAZO,KARONGIBWISHYURA,6.0/2006.0
32,CEN_BPM121264574,REBECCA,nan,JEAN,REBECCA  JEAN,WEST,KARONGI,BWISHYURA,BURUNGA,MATYAZO,nan,1993.0,29,TRESOR DUSABE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,4.0,F,5352649417.0,-2.085338255,29.35604606,RWANDA KARONGI BWISHYURA BURUNGA MATYAZO,BURUNGAMATYAZO,KARONGIBWISHYURA,nan/1993.0
33,CEN_BPS437509241,JOHN,MARRY,VITAL,JOHN MARRY VITAL,KIGALI,KICUKIRO,GATENGA,NYANZA,TABA,8.0,nan,,JOHN MARRY VITAL,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,5.0,M,nan,-1.989072994,30.08978298,RWANDA KICUKIRO GATENGA NYANZA TABA,NYANZATABA,KICUKIROGATENGA,8.0/nan
33,CEN_BPW898270968,TRESSY,nan,MBARUSHIMANA,TRESSY  MBARUSHIMANA,KIGALI,KICUKIRO,GATENGA,NYANZA,TABA,8.0,1957.0,65,JOHN MARRY VITAL,3.0,LIVE IN A POLYGAMOUS UNION,5.0,F,nan,-1.989072994,30.08978298,RWANDA KICUKIRO GATENGA NYANZA TABA,NYANZATABA,KICUKIROGATENGA,8.0/1957.0
34,CEN_BSX819088908,PATIENCE,nan,KAMANZI,PATIENCE  KAMANZI,KIGALI,NYARUGENGE,GITEGA,KIGARAMA,INGENZI,8.0,2018.0,5,SEDHAR KUBWIMANA,6.0,NEVER MARRIED,3.0,F,nan,-1.956537934,30.055013,RWANDA NYARUGENGE GITEGA KIGARAMA INGENZI,KIGARAMAINGENZI,NYARUGENGEGITEGA,8.0/2018.0
34,CEN_BUS362554019,nan,nan,KUBWIMANA,  KUBWIMANA,KIGALI,NYARUGENGE,GITEGA,KIGARAMA,INGENZI,6.0,1975.0,47,SEDHAR KUBWIMANA,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,10.0,M,nan,-1.956537934,30.055013,RWANDA NYARUGENGE GITEGA KIGARAMA INGENZI,KIGARAMAINGENZI,NYARUGENGEGITEGA,6.0/1975.0
34,CEN_C2B368543840,ISMAEL,nan,STRATON,ISMAEL  STRATON,KIGALI,NYARUGENGE,GITEGA,KIGARAMA,INGENZI,8.0,2013.0,11,SEDHAR KUBWIMANA,6.0,NEVER MARRIED,12.0,M,nan,-1.956537934,30.055013,RWANDA NYARUGENGE GITEGA KIGARAMA INGENZI,KIGARAMAINGENZI,NYARUGENGEGITEGA,8.0/2013.0
35,CEN_C3Z489676537,UWAMAHORO,nan,DAMAS,UWAMAHORO  DAMAS,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,5.0,1961.0,61,UWAMAHORO DAMAS,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,5.0,F,4246322811.0,-2.332848132,30.50578534,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,5.0/1961.0
35,CEN_C47524321394,AMANDA,nan,KAYITESI,AMANDA  KAYITESI,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,nan,1974.0,48,UWAMAHORO DAMAS,4.0,DIVORCED,8.0,F,4246322811.0,-2.332848132,30.50578534,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,nan/1974.0
36,CEN_C4O068308716,nan,nan,GATETE,  GATETE,SOUTH,RUHANGO,KINAZI,BURIMA,MIRAMBI,nan,1924.0,98,BERTRAND GATETE,nan,nan,13.0,M,9721083915.0,-2.191031728,29.90222365,RWANDA RUHANGO KINAZI BURIMA MIRAMBI,BURIMAMIRAMBI,RUHANGOKINAZI,nan/1924.0
36,CEN_CDD419821306,IRAKOZE,nan,nan,IRAKOZE  ,SOUTH,RUHANGO,KINAZI,BURIMA,MIRAMBI,5.0,nan,56,BERTRAND GATETE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,9.0,nan,9721083915.0,-2.191031728,29.90222365,RWANDA RUHANGO KINAZI BURIMA MIRAMBI,BURIMAMIRAMBI,RUHANGOKINAZI,5.0/nan
36,CEN_CGG844439876,BRUNO,nan,BOSCO,BRUNO  BOSCO,SOUTH,RUHANGO,KINAZI,BURIMA,MIRAMBI,9.0,2022.0,4,BERTRAND GATETE,6.0,NEVER MARRIED,nan,M,9721083915.0,-2.191031728,29.90222365,RWANDA RUHANGO KINAZI BURIMA MIRAMBI,BURIMAMIRAMBI,RUHANGOKINAZI,9.0/2022.0
37,CEN_CGH069944424,FISTON,nan,BEATRICE,FISTON  BEATRICE,EAST,KAYONZA,GAHINI,JURU,MIKINGA,11.0,2014.0,8,YANNICK NIYO,6.0,NEVER MARRIED,6.0,M,2756003718.0,-1.8471235330000002,30.50548264,RWANDA KAYONZA GAHINI JURU MIKINGA,JURUMIKINGA,KAYONZAGAHINI,11.0/2014.0
37,CEN_CI5143190272,MARIE,CHANTAL,MUTABAZI,MARIE CHANTAL MUTABAZI,EAST,KAYONZA,GAHINI,JURU,MIKINGA,3.0,nan,43,YANNICK NIYO,nan,nan,3.0,F,2756003718.0,-1.8471235330000002,30.50548264,RWANDA KAYONZA GAHINI JURU MIKINGA,JURUMIKINGA,KAYONZAGAHINI,3.0/nan
37,CEN_CIF019441339,YANNICK,nan,NIYO,YANNICK  NIYO,EAST,KAYONZA,GAHINI,JURU,MIKINGA,nan,1982.0,63,YANNICK NIYO,7.0,WIDOWED,7.0,F,9898482048.0,-1.8471235330000002,30.50548264,RWANDA KAYONZA GAHINI JURU MIKINGA,JURUMIKINGA,KAYONZAGAHINI,nan/1982.0
38,CEN_CIG589022929,DIVINA,nan,GASANA,DIVINA  GASANA,EAST,KAYONZA,GAHINI,JURU,NYABUGOGO,1.0,nan,58,CHRIS KABAGAMBE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,6.0,F,nan,-1.8471235330000002,30.50548264,RWANDA KAYONZA GAHINI JURU NYABUGOGO,JURUNYABUGOGO,KAYONZAGAHINI,1.0/nan
38,CEN_CKH811067880,CHRIS,nan,KABAGAMBE,CHRIS  KABAGAMBE,EAST,KAYONZA,GAHINI,JURU,NYABUGOGO,nan,1929.0,93,CHRIS KABAGAMBE,4.0,DIVORCED,7.0,M,nan,-1.8471235330000002,30.50548264,RWANDA KAYONZA GAHINI JURU NYABUGOGO,JURUNYABUGOGO,KAYONZAGAHINI,nan/1929.0
38,CEN_CKI249688560,KASSIM,nan,NDAYISHIMIYE,KASSIM  NDAYISHIMIYE,EAST,KAYONZA,GAHINI,JURU,NYABUGOGO,4.0,1924.0,73,CHRIS KABAGAMBE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,11.0,M,nan,-1.8471235330000002,30.50548264,RWANDA KAYONZA GAHINI JURU NYABUGOGO,JURUNYABUGOGO,KAYONZAGAHINI,4.0/1924.0
39,CEN_CME291687952,JAPHET,nan,ALAIN,JAPHET  ALAIN,SOUTH,NYANZA,BUSORO,GITOVU,GITEGA,6.0,2019.0,3,NIYIBIZI JEAN KAYIRANGA,6.0,NEVER MARRIED,9.0,M,3181567578.0,-2.283028372,29.95329407,RWANDA NYANZA BUSORO GITOVU GITEGA,GITOVUGITEGA,NYANZABUSORO,6.0/2019.0
39,CEN_CT3448003390,nan,FELIX,HOPE, FELIX HOPE,SOUTH,NYANZA,BUSORO,GITOVU,GITEGA,2.0,1982.0,40,NIYIBIZI JEAN KAYIRANGA,3.0,LIVE IN A POLYGAMOUS UNION,6.0,M,3181567578.0,-2.283028372,29.95329407,RWANDA NYANZA BUSORO GITOVU GITEGA,GITOVUGITEGA,NYANZABUSORO,2.0/1982.0
39,CEN_CTH858963568,NIYIBIZI,JEAN,KAYIRANGA,NIYIBIZI JEAN KAYIRANGA,SOUTH,NYANZA,BUSORO,GITOVU,GITEGA,9.0,nan,76,NIYIBIZI JEAN KAYIRANGA,6.0,NEVER MARRIED,6.0,M,3181567578.0,-2.283028372,29.95329407,RWANDA NYANZA BUSORO GITOVU GITEGA,GITOVUGITEGA,NYANZABUSORO,9.0/nan
39,CEN_CYD715478912,VIATEUR,nan,nan,VIATEUR  ,SOUTH,NYANZA,BUSORO,GITOVU,GITEGA,nan,1961.0,62,NIYIBIZI JEAN KAYIRANGA,nan,nan,5.0,M,3181567578.0,-2.283028372,29.95329407,RWANDA NYANZA BUSORO GITOVU GITEGA,GITOVUGITEGA,NYANZABUSORO,nan/1961.0
40,CEN_D4X255970026,PIERE,CLAVER,AGABA,PIERE CLAVER AGABA,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,nan,nan,84,BENISON MUHINDO,3.0,LIVE IN A POLYGAMOUS UNION,5.0,M,8985343771.0,-2.46859113,29.58465258,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,nan/nan
40,CEN_D7T717099086,MUSSA,nan,KARARA,MUSSA  KARARA,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,nan,nan,63,BENISON MUHINDO,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,7.0,M,8985343771.0,-2.46859113,29.58465258,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,nan/nan
40,CEN_DB1768778667,BENISON,nan,MUHINDO,BENISON  MUHINDO,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,3.0,1932.0,90,BENISON MUHINDO,5.0,SEPARATED,9.0,M,8985343771.0,-2.46859113,29.58465258,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,3.0/1932.0
40,CEN_DC3840523317,GATORANO,nan,JUNIOR,GATORANO  JUNIOR,SOUTH,NYAMAGABE,GASAKA,REMERA,GITWA,2.0,2010.0,12,BENISON MUHINDO,6.0,NEVER MARRIED,10.0,M,8985343771.0,-2.46859113,29.58465258,RWANDA NYAMAGABE GASAKA REMERA GITWA,REMERAGITWA,NYAMAGABEGASAKA,2.0/2010.0
41,CEN_DEN384517647,VALENTINE,nan,NIZEYIMANA,VALENTINE  NIZEYIMANA,WEST,NGORORERO,NYANGE,GASEKE,DUTWE,10.0,1947.0,78,MARIE ANGE NDAYISHIMIYE,5.0,SEPARATED,2.0,F,5144563102.0,-2.052755305,29.60015299,RWANDA NGORORERO NYANGE GASEKE DUTWE,GASEKEDUTWE,NGORORERONYANGE,10.0/1947.0
41,CEN_DIM752506180,MUTESI,nan,ANDRE,MUTESI  ANDRE,WEST,NGORORERO,NYANGE,GASEKE,DUTWE,4.0,nan,15,MARIE ANGE NDAYISHIMIYE,6.0,NEVER MARRIED,12.0,F,5144563102.0,-2.052755305,29.60015299,RWANDA NGORORERO NYANGE GASEKE DUTWE,GASEKEDUTWE,NGORORERONYANGE,4.0/nan
41,CEN_DMM807697672,MARIE,ANGE,NDAYISHIMIYE,MARIE ANGE NDAYISHIMIYE,WEST,NGORORERO,NYANGE,GASEKE,DUTWE,nan,2010.0,89,MARIE ANGE NDAYISHIMIYE,4.0,DIVORCED,3.0,M,5144563102.0,-2.052755305,29.60015299,RWANDA NGORORERO NYANGE GASEKE DUTWE,GASEKEDUTWE,NGORORERONYANGE,nan/2010.0
41,CEN_DNU829902998,BAHIZI,GASPARD,INNOCENT,BAHIZI GASPARD INNOCENT,WEST,NGORORERO,NYANGE,GASEKE,DUTWE,1.0,nan,10,MARIE ANGE NDAYISHIMIYE,6.0,NEVER MARRIED,3.0,M,5144563102.0,-2.052755305,29.60015299,RWANDA NGORORERO NYANGE GASEKE DUTWE,GASEKEDUTWE,NGORORERONYANGE,1.0/nan
42,CEN_DQT925842518,NEZA,nan,RAMAZANI,NEZA  RAMAZANI,EAST,GATSIBO,NGARAMA,KARAMBI,KAMURI,8.0,nan,30,ELICAN VALENTINE,5.0,SEPARATED,3.0,F,9141548337.0,-1.501393847,30.24321364,RWANDA GATSIBO NGARAMA KARAMBI KAMURI,KARAMBIKAMURI,GATSIBONGARAMA,8.0/nan
42,CEN_DSX631009271,ELICAN,nan,VALENTINE,ELICAN  VALENTINE,NORTH,GICUMBI,RWAMIKO,NYAGAHINGA,KIGAGA,nan,nan,96,ELICAN VALENTINE,nan,nan,nan,M,9141548337.0,-1.5688002330000002,30.11566288,RWANDA GICUMBI RWAMIKO NYAGAHINGA KIGAGA,NYAGAHINGAKIGAGA,GICUMBIRWAMIKO,nan/nan
42,CEN_DUH459763632,EMMY,PRINCE,UWAMARIYA,EMMY PRINCE UWAMARIYA,NORTH,GICUMBI,RWAMIKO,NYAGAHINGA,KIGAGA,5.0,1973.0,49,ELICAN VALENTINE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,11.0,M,9141548337.0,-1.5688002330000002,30.11566288,RWANDA GICUMBI RWAMIKO NYAGAHINGA KIGAGA,NYAGAHINGAKIGAGA,GICUMBIRWAMIKO,5.0/1973.0
43,CEN_DXX145159030,GAHIGI,nan,HABIMANA,GAHIGI  HABIMANA,WEST,NGORORERO,BWIRA,KABARONDO,NYAKARAMBI,10.0,1990.0,32,LAMBERT KABERA,4.0,DIVORCED,6.0,M,7621647104.0,-1.861275719,29.62435483,RWANDA NGORORERO BWIRA KABARONDO NYAKARAMBI,KABARONDONYAKARAMBI,NGOROREROBWIRA,10.0/1990.0
43,CEN_DYY234436095,NDAGIJIMANA,nan,NIZEYIMANA,NDAGIJIMANA  NIZEYIMANA,WEST,NGORORERO,BWIRA,KABARONDO,NYAKARAMBI,6.0,2002.0,20,LAMBERT KABERA,6.0,NEVER MARRIED,7.0,M,7621647104.0,-1.861275719,29.62435483,RWANDA NGORORERO BWIRA KABARONDO NYAKARAMBI,KABARONDONYAKARAMBI,NGOROREROBWIRA,6.0/2002.0
43,CEN_DZJ434751496,AUDACE,nan,TWAHIRWA,AUDACE  TWAHIRWA,WEST,NGORORERO,BWIRA,KABARONDO,NYAKARAMBI,nan,1933.0,49,LAMBERT KABERA,7.0,WIDOWED,10.0,M,7621647104.0,-1.861275719,29.62435483,RWANDA NGORORERO BWIRA KABARONDO NYAKARAMBI,KABARONDONYAKARAMBI,NGOROREROBWIRA,nan/1933.0
